speciesType,tissueType,cellName,geneSymbol
Mouse,Spleen,Lymphocyte (All markers),"Cd19,  Cd3d,  Cd3e,  Cd3g,  Ncam1, Cd2,  Cd8a,  Klrb1c, Cd3d,  Cd79a,  Cd8b1,  Nkg7, Cd37,  Cd3g,  Cd52,  Coro1a,  Cxcr6,  Gmfg,  Klk8,  Lat,  Lgals3,  Lsp1,  Pim1,  Ptprcap,  Rgcc,  Rgs1,  Srgn, Ccl5, Ccr7,  Ccr9,  Dntt,  Flt3,  Igll1,  Lck,  Lef1,  Mzb1,  Vpreb1,  Vpreb3"
Mouse,Spleen,T cell (All markers),"Cd3d,  Cd3e,  Cd3g, Cd4, Cd8a,  Cd8a,  NA, Cd2,  Cd4,  Cd5, Sell, Gstm1, Thy1,  Thy1, Cd44,  Sell,  Cd69,  Pdcd1, Ccr10,  Itgae,  Kit,  Ifngr1,  Itgax,  Il2rb,  Il6ra,  Il7r,  Pdgfra,  Pdgfrb,  Slamf1,  Cd40lg,  Cd160,  Klrb1b,  Klrb1c,  Fasl,  Cxcr3,  Cxcr4,  Cxcr5,  Ccr3,  Ccr4,  Ccr5,  Ccr6,  Cd1d1,  Cd2,  Cd200,  Il12rb1,  Il18r1,  Cd24a,  Il2ra,  Ptgdr2,  Cd3d,  Pecam1,  Cd34,  Cr2,  Tnfrsf18,  Cd38,  Entpd1,  Cd40,  Spn,  Cd44,  Ptprc,  Itga2,  Itgav,  B3gat1,  Itgb3,  TFRC,  Nt5e,  Cd80,  Cd84,  Plaur,  Klrd1,  Cd96,  Ccr8,  Cx3cr1,  Flt3,  Foxp3,  Il1r1,  Il1r2,  Il1r1,  Il1r2,  Il21r,  Il9,  Zbtb16,  Rorc,  Ly6a, Cd3e, Bcl11b,  Cxcr6,  Fam189b,  Gimap3,  Itk,  Lef1,  Ltb,  Rapgef6,  Rasgrp1,  Rpl12,  Rplp1,  Rps16,  Rps23,  Rps4x,  Satb1,  Socs2,  Tpt1"
Mouse,Spleen,Follicular helper T (Tfh) cell subtype,"Nt5e,  Izumo1r"
Mouse,Spleen,Regulatory T (Treg) cell subtype,"Itga2,  Lag3, Il2ra,  Cd4,  Itga2, Nrp1,  Foxp3,  Cd3d,  Cd3e,  Cd3g,  Entpd1,  Ptprc,  Nt5e,  Ikzf2,  Il10,  Il12a,  Ebi3,  Mki67,  TGF-beta family, Cd101,  Il1r1,  Il1r2,  Tnfrsf9,  Ctla4,  Il2ra,  Nrp1,  Tnfrsf18,  Rel,  Ikzf4,  Izumo1r,  Lrrc32,  NA,  Stat5a,  Stat5b,  Tigit, Izumo1r,  Tcf7,  Trbc2"
Mouse ,Spleen ,Helper T (Th1) cell subtype,"Cd3d,  Cd3e,  Cd3g,  Cd4,  Ptprc"
Mouse,Spleen,Helper T (Th2) cell subtype,"Il1rl1, Batf,  Cxcr4,  Ccr4,  NA,  Ptgdr2,  Havcr1,  Gata3,  Mydgf,  Il1rl1,  Irf4,  Stat6"
Mouse,Spleen,Cytotoxic T  cell,"Cd3d,  Cd3e,  Cd3g,  Ptprc,  Cd8a"
Mouse,Spleen,Marginal zone B cell,"Cr2,  Fcer2a,  IgD family,  Cd40lg, Cd1d1,  Cr2,  Cd22,  Ptprc,  Cd9,  NA,  Pax5"
Mouse,Spleen,T1 (Transitional) B cell,"Cr2,  Fcer2a,  Cd40lg"
Mouse,Spleen,T2 (Transitional) B cell,"Cd21, Baffr, Has"
Mouse,Spleen,B cell (immature markers noted*),"Ptprc, Spn,  Ptprc,  Cd40lg, Cd19,  Cd79a,  Cd19,  Cd5,  Adgre1, Gstm1, Fasn, Cd22,  Spn, Ms4a1, Cd5,  Cd24a, Kit, Bcr,  Enpep,  Ccr10,  Itgae,  Kit,  Ifngr1,  Itgam,  Il2rb,  Il6ra,  Il7r,  Sdc1,  Fcgr3,  Cxcr4,  Cxcr5,  Cd1d1,  Ms4a1,  Cr2,  Cd22,  Fcer2a,  Il2ra,  Cd27,  Pdcd1lg2,  Pecam1,  Bst2,  Slamf7,  Cdh1,  Cd320,  Cd34,  Tnfrsf18,  Cd38,  Entpd1,  Cd40,  Cd44,  Itga2,  Sell,  Nt5e,  Cd80,  Cd84,  Cd86,  Cd9,  Cd93,  Flt3,  IgD family,  Il1r1,  Il1r2,  MHC Class II,  NA,  Ly6a, Cd180,  Tnfsf4,  Cd36,  Cd69,  Cd81, Cd79a,  Cd79b,  Ly6d,  Mzb1, Cd69,  Cxcl10,  Ifi47,  Ifit1,  Ifit2,  Ifit3,  Igtp,  Irf7,  Irgm1,  Isg15,  Isg20,  Mx1,  Oasl1,  Parp14,  Rgs1,  Rsad2,  Usp18, 4930523C07Rik,  Bank1,  Blnk,  Btla,  Cd37,  Ckap4,  Cmah,  Creld2,  Derl3,  Dnajc3,  Eaf2,  Ebf1,  Edem1,  Edem2,  Fam46c,  Fchsd2,  Fcmr,  Fcrla,  Fkbp11,  Gm8369,  H13,  H2-DMb2,  H2-Oa,  H2-Ob,  Hsp90b1,  Hspa5,  Hvcn1,  Jchain,  Krtcap2,  Manf,  Mef2c,  Pafah1b3,  Pax5,  Pold4,  Pou2af1,  Prdx4,  Ptp4a3,  Ralgps2,  Rexo2,  Scd1,  Sdf2l1,  Sec11c,  Sec61a1,  Sec61b,  Serp1,  Siglecg,  Slpi,  Smap2,  Snx2,  Spcs3,  Spib,  Srp9,  Ssr4,  Tnfrsf13b,  Tnfrsf13c,  Tnfrsf17,  Trp53inp1,  Txndc11,  Txndc5,  Vpreb3,  Xbp1, Fcrla,  Vpreb1, Cd79b"
Mouse,Spleen,Plasma cell (mature B cell),"Sdc1, Tnfrsf17,  Prdm1,  Il6ra,  Sdc1,  Cxcr4,  Cd320,  Ptprc,  IgD family,  Irf4,  Tnfrsf13b,  Xbp1, Prdm1,  Fcgr3,  Cd19,  Cdh1,  Cd81,  Cd9,  IgG family"
Mouse,Spleen,Mature naive B cell,"Cr2,  Fcer2a,  Cd40lg"
Mouse,Spleen,Germinal center B cell,"Fasn,  Prss57,  IgD family, Bcl6,  Tnfrsf13c,  Ptprc,  Fas,  NA,  Cd40lg, Aicda,  Bach2,  Bcl6,  Cd19,  Cd81,  IgG family,  Irf8,  Pax5, Basp1,  Cd79b,  Jchain"
Mouse,Spleen,Natural killer cell,"Klrb1c, Itga1,  Cxcr6, Itgax,  Ncr1, Itgae,  Itgae,  Kit,  Ifngr1,  Il2rb,  Il7r,  Fcgr3,  Cd160,  Klrb1,  Klrb1b,  Klrb1c,  Cxcr2,  Cxcr3,  Ccr6,  Cd1d1,  Cd2,  Il12rb1,  Pecam1,  Klrk1,  Slamf7,  Cd34,  Cd4,  Spn,  Cd44,  Ptprc,  Itga2,  B3gat1,  Cd69,  Cd8a,  Plaur,  Thy1,  Klrd1,  Cd96,  Cx3cr1,  Flt3,  Klrg1,  MHC class II,  Zbtb16,  Rorc,  Ly6a,  Il1rl1, Itgam,  Cd226,  Il2ra,  Nfil3,  Eomes,  Gata3,  Id2,  Ly-49 family,  Runx1,  Agpat2,  Tigit,  Tox, Klra8,  Klrc1, Fcgr3,  Ncam1, Cap1,  Ccl5,  Ccnd2,  Chsy1,  Cma1,  Cst7,  Ctla2b,  Ctsw,  Dapk2,  Dok2,  Dusp2,  Fasl,  Gem,  NA,  Gzma,  Gzmb,  Hsd11b1,  Ifitm10,  Il18rap,  Irf8,  Itgb2,  Jak1,  Klra1,  Klra4,  Klra7,  Klra8,  Klra9,  Klrb1a,  Klrb1f,  Klrc2,  Klre1,  Lamb3,  Lfng,  Nkg7,  Pole4,  Prf1,  Samd3,  Tbx21,  Txk,  Ugcg,  Vps37b, Ccl5,  Cebpa,  Etv6,  Foxp1,  Mpo,  Spi1,  Stat3"
Mouse,Spleen,Natural killer T (NKT) cell,"Fcgr3,  Cd3d,  Cd3e,  Cd3g,  Ptprc,  Ncam1,  NA,  Klrb1c"
Mouse,Spleen,Dendritic cell (all markers),"Itgax,  Cd74,  Cd83,  Cd86,  Cd80,  Tlr9, Ccr7,  Itgax,  Cd40,  MHC class II, Cd80, Cd83, Itgam,  Cd19,  Cd3d,  Cd3e,  Cd3g,  Ly6g,  Klrb1c, MHC class II,  Cd24a,  Ptprc,  Siglecf,  Xcr1, Nectin2, Cd209a,  Flt3,  H2-Eb1,  Cd14,  Fcgr3, Cd74,  Cebpa,  Chd3,  Elf1,  Etv6,  Foxp1,  Id2,  Irf8,  Nfe2,  Spi1,  Sox4,  Stat3, Basp1,  Ccl5,  Fscn1,  S100a4,  Tcf7, Ccl22,  Ccr7,  Cst3,  H2-Ab1,  Ifit1, Batf3,  Ifi205,  Mycl,  Slamf7,  H2-Aa"
Mouse,Spleen,Plasmacytoid dendritic cell subtype,"Tlr7,  Tlr9,  Bst2,  Ptprc,  Tcf4,  Irf8,  Siglech, Mcemp1,  Cox14,  NA,  Pagr1a,  Efcab14,  Babam1,  Acp5,  Uqcc3,  Akr1a1,  Alas1,  Ankrd13a,  Ano6,  Arl6ip4,  Atox1,  Atp2a3,  Atp5c1,  Atp5j2,  Dmac2,  Atpif1,  Avpi1,  Dst,  C1qa,  C1qc,  Capns1,  Cd68,  Cd74,  Cdc42ep3,  Chchd3,  Coro1b,  Coro7,  Cstb,  Rsrp1,  Dnajb9,  Ehbp1l1,  Eif3f,  Eif4ebp1,  Elof1,  Exoc2,  Fam173a,  Fam32a,  Tpgs1,  Gm5617,  Gngt2,  Gpx4,  Gusb,  H2-Aa,  H2-Ab1,  H2-Eb1,  Haao,  Haus8,  Hint1,  Hsd17b10,  Idh2,  Ifi30,  Il10rb,  Il12b,  Inpp4a,  Ip6k1,  Itgax,  Itm2b,  Lamp1,  Map1lc3b,  Mcm6,  Mdh2,  Mrpl34,  Ms4a7,  Ncor1,  Ndufa10,  Ndufa9,  Ndufb8,  Neurl3,  Nudt3,  P4hb,  Pip5k1c,  Pisd,  Pkn1,  Pkp3,  Plaur,  Plod3,  Plxnb2,  Plxnd1,  Ppp1r12c,  Pqlc1,  Psen2,  Psmc4,  Ptcd2,  Pycr2,  Qdpr,  Rasa3,  Rbbp7,  Rbm25,  Rogdi,  Rplp0,  Rplp1,  Rps20,  Rxra,  Sae1,  Scamp4,  Senp6,  Slc8b1,  Slc29a3,  Slc43a2,  Slc44a2,  Slc9a3r1,  Snrpd3,  Snrpf,  Spns3,  Srp14,  Ssrp1,  Syf2,  Tfeb,  Tmem176a,  Tmem176b,  Tspan14,  Ube2j1,  Usp48,  Vac14,  Bud23,  Wdr89,  Ywhah,  Zbtb7a,  Zcchc24,  Zeb2, Siglech, Bst2,  Ly6d"
Mouse,Spleen,Follicular dendritic cell subtype,"Vcam-1, Cr1.2, Fdc-m1, Fdc-m2, MAdCam-1"
Mouse,Spleen,Monocyte,"Cd48, Ly6c1,  Ly6g,  NA, Itgam,  Cd68,  Adgre1, Adgre1, Ly6g,  Ly6c1,  Cd19,  Cd3d,  Cd3e,  Cd3g,  Klrb1c, Csf1r,  Itgam,  Cx3cr1, Ccr2,  Csf1r,  Ly6c2, Itgax,  Cd14,  Fcgr3, Pithd1,  Ppp1r18,  ,  2310061I04Rik,  Abcd1,  Abr,  Acap2,  Adcy7,  Add1,  Add3,  Adipor1,  AI467606,  Alkbh7,  Ap1m1,  App,  Arhgap1,  Arhgdib,  Arhgef18,  Arpp19,  Aurkaip1,  B9d2,  Bin1,  Brd4,  Bri3,  Calm2,  Ccnd1,  Cd180,  Cd7,  Cdc42se2,  Cdk5rap3,  Cfp,  Chka,  Chst12,  Clic1,  Clta,  Commd7,  Cox8a,  Crip1,  Csk,  Csnk1g2,  Cst3,  Ctnnb1,  Cux1,  Cxcr3,  Cyp27a1,  Dcaf15,  Dctpp1,  Dcxr,  Ddb1,  Ddx42,  Def6,  Dhx57,  Dscr3,  Emp3,  Etfb,  Fam168b,  Fkbp15,  Foxo1,  Fxyd5,  Gimap6,  Gpi1,  Grap,  Gtf3a,  H2-Ke6,  Hadhb,  Hagh,  Hdac5,  Herpud1,  Hip1r,  Hmgcl,  Hnrnpl,  Hspa1b,  Ifnar2,  Igsf8,  Il17ra,  Itgb7,  Kcnn4,  Klf13,  Klf2,  Klf3,  Ldb1,  Lgals3,  Lime1,  Lrwd1,  Madd,  Map3k3,  Map4k1,  Mbtps1,  Mrpl18,  Mrpl40,  Myh9,  Naa10,  Nbeal2,  Ndufb5,  Nipbl,  Npc1,  Nrm,  Nub1,  Nudt16l1,  Phax,  Pnn,  Pnpla7,  Ppp1ca,  Prkacb,  Prkd2,  Psmd4,  Ptpn6,  Rasal3,  Rasgrp2,  Rbm38,  Reep4,  Rheb,  S1pr4,  Sgk1,  Slc50a1,  Slpi,  Smc4,  Snx3,  Sra1,  Srsf9,  Stk38,  Sumf1,  Tbc1d10c,  Tbc1d17,  Tcp11l2,  Tmed3,  Tmem14c,  Tmem160,  Tmem208,  Tmem59,  Tpi1,  Tpm1,  Tprgl,  Trim8,  Tsnax,  Tspan32,  Vim,  Vps16,  Wbp2,  Wdfy4,  Ly86, Tmem258,  Ass1,  C1galt1c1,  Clec7a,  Ctsc,  Ctss,  Cxcr4,  Emb,  F13a1,  Glipr1,  Gria3,  Hpse,  Klf4,  Lgals1,  Mefv,  Mfsd1,  Ms4a6c,  Papss2,  Prdx4,  Psma2,  Rassf4,  Rgs10,  S100a10,  S100a4,  Tfec,  Tgfbi,  Tifab,  Trem2, Hbb-bs,  Car2,  Cited4,  E2f4,  Gata1,  Gata2,  Gfi1b,  Hba-a2,  Hmgb3,  Klf1,  Mbd2,  Phb2,  Phf10,  Tcf3,  Zfpm1, Ccl6,  Cebpb,  Cmpk2,  Ctsd,  Cxcl1,  Cxcl2,  Cxcl3,  Ifit1,  Il1b,  Il6,  Ly6e,  Lyz2,  Ptgs2,  Tnf, Ctss,  Cybb,  Irf8,  Ly6a"
Mouse,Spleen,Macrophage,"Fcgr3,  Mrc1,  Fcer2a, Ly6c1,  Ly6g,  NA, Csf1r, Pdcd1lg2, macrophage galactose-type C-type lectin family, Adgre1, Dock2, Cd163,  Cd68,  Cd74,  Adgre1,  Itgam,  Lgals3,  Lyz1, Cd68, Itgax, Itgam, Mrc1, Cd40,  Nos2, Cd200r1, Kit,  Prom1,  Pecam1,  F8,  S100 family,  Kdr,  Itgax, Arg1,  Il10,  VEGF family,  Chil3,  MHC class II,  Fcgr1, Cd19,  Cd3d,  Cd3e,  Cd3g,  Klrb1c, Ptprc,  Mertk, Axl,  Lamp1,  Lamp2,  Csf1r,  Fcgr3,  Tlr2,  Tlr4,  Cdh1,  Cd40,  Tnfsf18,  Gpnmb,  MHC Class II,  cd68,  Cd14, C1qa,  C1qb,  C1qc,  Ccl12,  Cd209f,  Clec4n,  Coro1a,  Ctss,  Cxcl2,  F13a1,  Folr2,  Gatm,  Gmfg,  Lsp1,  Lyz2,  Ms4a7,  Pf4,  Pld4,  Rgs1,  Srgn,  Tyrobp,  Unc93b1, Abhd12,  Adap2,  Adrb1,  Aif1,  Apobec1,  Apoe,  Asah1,  Axl,  Basp1,  Bcl2a1b,  C1qa,  Cadm1,  Cd72,  Cd83,  Cd86,  Cdk6,  Cfh,  Clec4a2,  Clec4b1,  Col14a1,  Creb5,  Cst3,  Ctsc,  Ctsh,  Cx3cr1,  Cxcl16,  Cyth4,  Ebi3,  Fcgr2b,  Fcgr4,  Fgd2,  Fnbp1,  Fyb,  Gm4951,  Gpr65,  Gusb,  H2-Aa,  H2-Ab1,  H2-DMa,  H2-DMb1,  H2-Eb1,  Hpgds,  Hspa1a,  Ifnar1,  Inpp5d,  Itm2c,  Lacc1,  Lair1,  Lat2,  Lilra5,  Lpar6,  Ly86,  Marcks,  Mgl2,  Mknk1,  Mmp13,  Ntpcr,  P2ry6,  Parp14,  Pea15a,  Pid1,  Ppt1,  Rab7b,  Rbpj,  Rgs10,  Rtn4,  Runx1,  Scimp,  Sdc3,  Sft2d1,  Slamf9,  Slco2b1,  Stab1,  Stap1,  Stx16,  Taok3,  Tgfbr1,  Tmcc3,  Tmem176b,  Trf,  Vcam1,  Vsir,  Zmynd15, C1qb, Basp1,  Bst2,  Cd5l,  Cd79b,  Gzma,  S100a4, Lrmda,  Abca9,  Aoah,  Arhgap15,  Bank1,  Cd84,  Cmah,  Colec12,  Ctsb,  Dab2,  Dclre1c,  Ddx60,  Dock2,  Dock8,  Ehd4,  Fli1,  Gas6,  Ikzf1,  Lgmn,  Lyn,  Maf,  P2rx7,  P2ry12,  Pik3ap1,  Pnpla7,  Rbm47,  Rreb1,  Sirpa,  Slc9a9,  Snx2,  Stard8,  Tbxas1,  Tgfbr2,  Tnfaip8,  Tnfrsf11a,  Wdfy4,  Zfp710"
Mouse,Spleen,Macrophage (M1) subtypes,"Cd80, Cd86, Tnfalpha, Il6, Il1b, Il12b, IL12a, IL23a, Cxcl9, Cxcl10, Cxcl11, Cxcl16, Ccl5, Tlr2, Tlr4, Nos2, Irf3, Nfkb1, Stat1, Stat5b, Irf5, Hif1a"
Mouse,Spleen,Macrophage (M2) subtypes,"Cd206, Cd163, Arg-1, Il10, Il10ra, Il10rb, Tfgb1, Ccl1, Ccl17, Ccl22, Ccl24, Cxcl13, Vegfa, Cd209a, Retnla, Chil3, Stat3, Stat6, Klf4, Ppard, Tlr8, Cd68, Pparg"
Mouse ,Spleen,Macrophage Resident (white and red pulp),"Cd68, Cd209b, Marco, Dectin-2, Tim4, LXRalpha, Cd169, F4/80, Cd206, Spi-C, Signr1"
Mouse,Spleen,Granulocyte,"Cd48, Ifng,  Il6,  Ccl12,  Mpo,  Tnf, Itgam,  Cd19,  Cd3d,  Cd3e,  Cd3g,  Ly6g,  Klrb1c,  Fcgr3,  Cdh1,  Ccr3,  Itga2,  Ly6c1,  Siglecf, Camp,  Ngp,  S100a8,  S100a9,  Cebpe,  Chd7,  Far2,  Gfi1,  Lyz1,  NA,  Prkcb,  Tanc1,  Tmem53,  Trem3"
Mouse,Spleen,Neutrophil (All markers),"Ly6g,  NA, Prtn3, Itgam,  Cxcr4,  Ly6g,  Siglecf,  MHC class II, Itgae,  Nectin2,  Csf3r,  Csf2ra,  Fut4,  Bst1,  Cd177,  Cxcr1,  Cd24a,  Tlr1,  Tlr2,  Tlr4,  Tlr6,  Tlr9,  Cr2,  Spn,  Ceacam1,  Cd93, Csf1r,  Itgam, 1110008F13Rik,  AA467197,  Abtb1,  Adam8,  Adipor1,  Alox5ap,  Anxa1,  Arg2,  Asprv1,  Btg2,  C5ar1,  Card19,  Ccl3,  Ccl6,  Ccl9,  Ccr1,  Ccrl2,  Cd300ld,  Cd300lf,  Cdk2ap2,  Cfp,  Chil1,  Clec4d,  Clec4e,  Csrp3,  Cxcl2,  Cxcr2,  Cyp4f18,  Dgat1,  Dhrs7,  Dusp1,  Eif4ebp1,  Fos,  Fxyd5,  G0s2,  Gda,  Gdpd3,  Glipr2,  Glrx,  Gm5150,  Gm5483,  Gmfg,  Grina,  Gsr,  H2-Q10,  Hacd4,  Hdc,  Hp,  Ier2,  Ifitm1,  Ikbkap,  Il17ra,  Il1b,  Il1f9,  Il1r2,  Junb,  Lcn2,  Lilr4b,  Litaf,  Lrg1,  Map1lc3b,  Mcemp1,  Mcl1,  Mmp8,  Mmp9,  Mrgpra2b,  Mrpl33,  Msrb1,  Mxd1,  Ncf1,  Ngp,  Oas3,  Osm,  Pgd,  Pglyrp1,  Pilra,  Pilrb2,  Plp2,  Pnkp,  Prr13,  Ptgs2,  Ptp4a1,  Pygl,  R3hdm4,  Rara,  Rassf3,  Rdh12,  Retnlg,  Rgs2,  Riok3,  Rnf144a,  S100a11,  S100a6,  S100a8,  S100a9,  Slc16a3,  Slc7a11,  Slfn1,  Slfn4,  Socs3,  Sorl1,  Srgn,  Stfa2l1,  Stk17b,  Taldo1,  Tpd52,  Trem1,  Trem3,  Trim30b,  Txn1,  Tyrobp,  Ube2b,  Wfdc17,  Wfdc21,  Zfp36,  Zyx, Fcnb,  Gstm1,  Ltf, Cebpe,  Cebpa,  Etv6,  Foxp1,  Gfi1,  Spi1,  Stat3,  Elane, Elane,  Lyz2,  Mpo,  Prtn3"
Mouse,Spleen,"Segmented, mature Neutrophil",Ly6g
Mouse,Spleen,"Nonsegmented, immature Neutrophil","LY6g/Gr-1, CD11b, Gr-1, Ly6b, Cd133"
Mouse,Spleen,Basophil,"Ccr3, Cd45, Cd69, Cd200r3, Crth-2, Cd203c, Fcepsilon RI alpha, Cd123, Cd49b, Cd41, Mhc-II"
Mouse,Spleen,Eosinophil,"Ccr3, Cd11b, Cd45, F4/80, Cd125, Cd49d, Mhc-II, Singlec-F"
Mouse,Spleen,Megakaryocyte,"Cd41, Rgs10, Rgs18, Gpr56, Ptger3, Ptgir, Gnaz, Gna13, Rab10, Rab11a, Rab6, Rab27b, Kras2, Cdc423p5, Itg2b, Lims1, Col18a1, Gp1bb, Plek, Itga4, Stim1, Esa1 (https://doi.org/10.1182/blood-2006-08-038901) "
Mouse,Spleen ,Mast Cell,
Mouse,Spleen,Erythroid progenitor,"Tfrc,  Ly76"